Ref,Val,Package,PosX,PosY,Rot,Side
"C504","10 nF","C_0402",98.400000,38.200000,0.000000,top
"C508","10 nF","C_0402",86.200000,39.400000,270.000000,top
"C509","100 nF","C_0402",82.550000,27.250000,180.000000,top
"C510","100 nF","C_0402",83.600000,25.200000,270.000000,top
"C511","100 pF","C_0402",84.350000,29.950000,270.000000,top
"C512","120 pF","C_0402",85.100000,31.500000,0.000000,top
"C513","100 pF","C_0402",85.850000,29.950000,270.000000,top
"C514","100 pF","C_0402",84.850000,22.200000,90.000000,top
"C515","2.2 nF","C_0402",85.107030,27.250000,180.000000,top
"C516","10 nF","C_0402",85.600000,24.000000,0.000000,top
"C517","100 pF","C_0402",86.100000,22.200000,90.000000,top
"C518","100 nF","C_0402",86.600000,36.750000,270.000000,top
"C519","100 nF","C_0402",88.850000,22.250000,90.000000,top
"C520","100 nF","C_0402",88.350000,34.500000,90.000000,top
"C521","100 nF","C_0402",90.350000,19.750000,180.000000,top
"C522","100 nF","C_0402",89.600000,34.500000,90.000000,top
"C523","10 nF","C_0402",90.350000,37.000000,90.000000,top
"C524","10 nF","C_0402",91.100000,34.750000,90.000000,top
"C525","100 nF","C_0402",94.100000,34.250000,180.000000,top
"C526","1 nF","C_0402",92.350000,34.750000,90.000000,top
"C527","100 nF","C_0402",91.600000,22.200000,90.000000,top
"C528","100 nF","C_0402",97.400000,34.250000,180.000000,top
"C529","10 pF","C_0402",92.850000,22.200000,90.000000,top
"C530","10 pF","C_0402",94.100000,22.200000,90.000000,top
"C531","10 pF","C_0402",95.350000,22.200000,90.000000,top
"C532","100 nF","C_0402",97.107030,24.277074,90.000000,top
"C533","10 uF","C_0603",98.607030,24.027074,90.000000,top
"C534","10 pF","C_0402",99.600000,31.250000,0.000000,top
"C535","100 nF","C_0402",90.350000,22.000000,270.000000,top
"C536","10 pF","C_0402",100.600000,26.250000,180.000000,top
"C537","10 pF","C_0402",98.350000,27.000000,0.000000,top
"C538","10 pF","C_0402",98.350000,28.500000,0.000000,top
"C539","10 pF","C_0402",100.600000,29.750000,180.000000,top
"C604","10 nF","C_0402",98.200000,68.600000,0.000000,top
"C608","10 nF","C_0402",86.800000,69.400000,270.000000,top
"C609","100 nF","C_0402",82.800000,57.450000,180.000000,top
"C610","100 nF","C_0402",83.850000,55.400000,270.000000,top
"C611","100 pF","C_0402",84.600000,60.150000,270.000000,top
"C612","120 pF","C_0402",85.350000,61.700000,0.000000,top
"C613","100 pF","C_0402",86.100000,60.150000,270.000000,top
"C614","100 pF","C_0402",85.100000,52.400000,90.000000,top
"C615","2.2 nF","C_0402",85.357030,57.450000,180.000000,top
"C616","10 nF","C_0402",85.850000,54.200000,0.000000,top
"C617","100 pF","C_0402",86.350000,52.400000,90.000000,top
"C618","100 nF","C_0402",86.850000,66.950000,270.000000,top
"C619","100 nF","C_0402",89.100000,52.450000,90.000000,top
"C620","100 nF","C_0402",88.600000,64.700000,90.000000,top
"C621","100 nF","C_0402",90.600000,49.950000,180.000000,top
"C622","100 nF","C_0402",89.850000,64.700000,90.000000,top
"C623","10 nF","C_0402",90.600000,67.200000,90.000000,top
"C624","10 nF","C_0402",91.350000,64.950000,90.000000,top
"C625","100 nF","C_0402",94.350000,64.450000,180.000000,top
"C626","1 nF","C_0402",92.600000,64.950000,90.000000,top
"C627","100 nF","C_0402",91.850000,52.400000,90.000000,top
"C628","100 nF","C_0402",97.650000,64.450000,180.000000,top
"C629","10 pF","C_0402",93.100000,52.400000,90.000000,top
"C630","10 pF","C_0402",94.350000,52.400000,90.000000,top
"C631","10 pF","C_0402",95.600000,52.400000,90.000000,top
"C632","100 nF","C_0402",97.357030,54.477074,90.000000,top
"C633","10 uF","C_0603",98.857030,54.227074,90.000000,top
"C634","10 pF","C_0402",99.850000,61.450000,0.000000,top
"C635","100 nF","C_0402",90.600000,52.200000,270.000000,top
"C636","10 pF","C_0402",100.850000,56.450000,180.000000,top
"C637","10 pF","C_0402",98.600000,57.200000,0.000000,top
"C638","10 pF","C_0402",98.600000,58.700000,0.000000,top
"C639","10 pF","C_0402",100.850000,59.950000,180.000000,top
"C704","10 nF","C_0402",98.400000,98.000000,0.000000,top
"C708","10 nF","C_0402",86.600000,99.000000,270.000000,top
"C709","100 nF","C_0402",82.850000,86.750000,180.000000,top
"C710","100 nF","C_0402",83.900000,84.700000,270.000000,top
"C711","100 pF","C_0402",84.650000,89.450000,270.000000,top
"C712","120 pF","C_0402",85.400000,91.000000,0.000000,top
"C713","100 pF","C_0402",86.150000,89.450000,270.000000,top
"C714","100 pF","C_0402",85.150000,81.700000,90.000000,top
"C715","2.2 nF","C_0402",85.407030,86.750000,180.000000,top
"C716","10 nF","C_0402",85.900000,83.500000,0.000000,top
"C717","100 pF","C_0402",86.400000,81.700000,90.000000,top
"C718","100 nF","C_0402",86.900000,96.250000,270.000000,top
"C719","100 nF","C_0402",89.150000,81.750000,90.000000,top
"C720","100 nF","C_0402",88.650000,94.000000,90.000000,top
"C721","100 nF","C_0402",90.650000,79.250000,180.000000,top
"C722","100 nF","C_0402",89.900000,94.000000,90.000000,top
"C723","10 nF","C_0402",90.650000,96.500000,90.000000,top
"C724","10 nF","C_0402",91.400000,94.250000,90.000000,top
"C725","100 nF","C_0402",94.400000,93.750000,180.000000,top
"C726","1 nF","C_0402",92.650000,94.250000,90.000000,top
"C727","100 nF","C_0402",91.900000,81.700000,90.000000,top
"C728","100 nF","C_0402",97.700000,93.750000,180.000000,top
"C729","10 pF","C_0402",93.150000,81.700000,90.000000,top
"C730","10 pF","C_0402",94.400000,81.700000,90.000000,top
"C731","10 pF","C_0402",95.650000,81.700000,90.000000,top
"C732","100 nF","C_0402",97.407030,83.777074,90.000000,top
"C733","10 uF","C_0603",98.907030,83.527074,90.000000,top
"C734","10 pF","C_0402",99.900000,90.750000,0.000000,top
"C735","100 nF","C_0402",90.650000,81.500000,270.000000,top
"C736","10 pF","C_0402",100.900000,85.750000,180.000000,top
"C737","10 pF","C_0402",98.650000,86.500000,0.000000,top
"C738","10 pF","C_0402",98.650000,88.000000,0.000000,top
"C739","10 pF","C_0402",100.900000,89.250000,180.000000,top
"C804","10 nF","C_0402",98.450000,129.600000,0.000000,top
"C808","10 nF","C_0402",86.800000,130.800000,270.000000,top
"C809","100 nF","C_0402",81.800000,119.000000,180.000000,top
"C810","100 nF","C_0402",83.750000,116.700000,270.000000,top
"C811","100 pF","C_0402",84.500000,121.450000,270.000000,top
"C812","120 pF","C_0402",85.250000,123.000000,0.000000,top
"C813","100 pF","C_0402",86.000000,121.450000,270.000000,top
"C814","100 pF","C_0402",85.000000,113.700000,90.000000,top
"C815","2.2 nF","C_0402",85.257030,118.750000,180.000000,top
"C816","10 nF","C_0402",85.750000,115.500000,0.000000,top
"C817","100 pF","C_0402",86.250000,113.700000,90.000000,top
"C818","100 nF","C_0402",86.750000,128.250000,270.000000,top
"C819","100 nF","C_0402",89.000000,113.750000,90.000000,top
"C820","100 nF","C_0402",88.500000,126.000000,90.000000,top
"C821","100 nF","C_0402",90.500000,111.250000,180.000000,top
"C822","100 nF","C_0402",89.750000,126.000000,90.000000,top
"C823","10 nF","C_0402",90.500000,128.500000,90.000000,top
"C824","10 nF","C_0402",91.250000,126.250000,90.000000,top
"C825","100 nF","C_0402",94.250000,125.750000,180.000000,top
"C826","1 nF","C_0402",92.500000,126.250000,90.000000,top
"C827","100 nF","C_0402",91.750000,113.700000,90.000000,top
"C828","100 nF","C_0402",97.550000,125.750000,180.000000,top
"C829","10 pF","C_0402",93.000000,113.700000,90.000000,top
"C830","10 pF","C_0402",94.250000,113.700000,90.000000,top
"C831","10 pF","C_0402",95.500000,113.700000,90.000000,top
"C832","100 nF","C_0402",97.257030,115.777074,90.000000,top
"C833","10 uF","C_0603",98.757030,115.527074,90.000000,top
"C834","10 pF","C_0402",99.750000,122.750000,0.000000,top
"C835","100 nF","C_0402",90.500000,113.500000,270.000000,top
"C836","10 pF","C_0402",100.750000,117.750000,180.000000,top
"C837","10 pF","C_0402",98.500000,118.500000,0.000000,top
"C838","10 pF","C_0402",98.500000,120.000000,0.000000,top
"C839","10 pF","C_0402",100.750000,121.250000,180.000000,top
"C901","10 uF","C_0603",30.250000,32.250000,270.000000,top
"C906","1 uF","C_0402",28.200000,28.000000,0.000000,top
"C909","1 uF","C_0402",33.750000,26.250000,90.000000,top
"C912","1 uF","C_0402",35.000000,26.250000,90.000000,top
"C915","10 uF","C_0603",34.750000,30.850000,270.000000,top
"C917","10 uF","C_0603",30.500000,45.500000,90.000000,top
"C1101","100 nF","C_0402",44.700000,130.150000,90.000000,top
"C1102","22 pF","C_0402",44.700000,126.400000,90.000000,top
"C1104","22 pF","C_0402",42.900000,124.000000,180.000000,top
"C1105","22 pF","C_0402",42.850000,122.500000,180.000000,top
"C1108","100 nF","C_0402",45.650000,119.200000,270.000000,top
"C1110","10 nF","C_0402",47.150000,119.200000,270.000000,top
"C1111","10 nF","C_0402",50.900000,129.800000,180.000000,top
"C1112","100 nF","C_0402",50.900000,131.100000,180.000000,top
"C1113","220 nF","C_0402",48.650000,118.950000,270.000000,top
"C1114","100 nF","C_0402",51.000000,118.250000,180.000000,top
"C1115","10 nF","C_0402",51.000000,119.500000,180.000000,top
"C1116","100 nF","C_0402",55.150000,118.300000,0.000000,top
"C1117","10 nF","C_0402",55.150000,119.600000,0.000000,top
"C1118","10 nF","C_0402",55.000000,129.700000,0.000000,top
"C1119","100 nF","C_0402",55.000000,131.000000,0.000000,top
"C1121","100 nF","C_0402",57.000000,128.250000,90.000000,top
"C1124","100 nF","C_0402",57.300000,120.700000,270.000000,top
"C1125","18 pF","C_0402",63.000000,118.750000,270.000000,top
"C1126","18 pF","C_0402",63.000000,132.300000,270.000000,top
"C1127","18 pF","C_0402",63.000000,127.800000,270.000000,top
"C1128","18 pF","C_0402",63.000000,123.000000,270.000000,top
"C1129","120 pF","C_0402",67.500000,118.750000,270.000000,top
"C1130","120 pF","C_0402",67.500000,132.300000,270.000000,top
"C1131","120 pF","C_0402",67.500000,127.800000,270.000000,top
"C1132","120 pF","C_0402",67.500000,123.000000,270.000000,top
"C1133","100 nF","C_0402",69.300000,119.300000,180.000000,top
"C1134","100 nF","C_0402",69.300000,132.850000,180.000000,top
"C1135","100 nF","C_0402",69.300000,128.350000,180.000000,top
"C1136","100 nF","C_0402",69.300000,123.550000,180.000000,top
"C1137","100 nF","C_0402",44.750000,106.200000,270.000000,top
"C1138","1 uF","C_0402",43.500000,106.200000,270.000000,top
"C1202","100 nF","C_0402",24.500000,44.500000,180.000000,top
"C1301","100 nF","C_0402",41.050000,90.000000,0.000000,top
"C1302","100 nF","C_0402",75.500000,82.500000,90.000000,top
"C1305","100 nF","C_0402",50.500000,61.500000,180.000000,top
"C1306","1 nF","C_0402",50.500000,63.000000,180.000000,top
"C1307","30 pF","C_0402",23.000000,70.200000,270.000000,top
"C1308","30 pF","C_0402",30.400000,70.200000,270.000000,top
"C1309","1 uF","C_0402",30.200000,73.600000,0.000000,top
"C1310","470 pF","C_0402",30.200000,74.800000,0.000000,top
"C1311","100 nF","C_0402",23.400000,76.691654,180.000000,top
"C1312","100 nF","C_0402",22.850000,84.600000,0.000000,top
"C1313","10 uF","C_0603",23.050000,86.100000,0.000000,top
"C1315","22 nF","C_0402",18.400000,72.250000,270.000000,top
"C1316","100 nF","C_0402",17.200000,64.350000,90.000000,top
"C1317","22 nF","C_0402",16.500000,90.500000,0.000000,top
"C1318","10 uF","C_0603",18.600000,64.600000,90.000000,top
"C1319","15 pF","C_0402",18.900000,84.850000,90.000000,top
"C1320","15 pF","C_0402",18.900000,82.150000,270.000000,top
"C1321","15 pF","C_0402",18.900000,79.800000,90.000000,top
"C1322","15 pF","C_0402",18.900000,76.650000,270.000000,top
"C1324","100 nF","C_0402",9.150000,117.500000,0.000000,top
"D901","LED_Small","LED_0603",70.000000,36.749300,270.000000,top
"D902","LED_Small","LED_0603",27.000000,48.749300,270.000000,top
"D1201","5.6V","SOD-123",17.800000,50.000000,90.000000,top
"D1302","USR0","LED_0603",18.200700,113.250000,0.000000,top
"D1303","USR1","LED_0603",18.200000,114.750000,0.000000,top
"D1304","USR2","LED_0603",18.200000,116.500000,0.000000,top
"D1305","USR3","LED_0603",18.200000,118.000000,0.000000,top
"F1201","Polyfuse_Small","R_1210",14.450000,48.400000,180.000000,top
"IC1301","SN74LVC1G07DCK","SC-70-5",41.500000,91.839600,90.000000,top
"IC1302","TPD4S012DRYR","SON-6(TI)-DRY",9.000000,115.800000,0.000000,top
"IC1303","TPD4S012DRYR","SON-6(TI)-DRY",15.600000,100.226620,0.000000,top
"L502","6.8 uH BRL1608T6R8M","R_0603",83.850000,33.500000,270.000000,top
"L503","6.8 uH BRL1608T6R8M","R_0603",85.600000,33.500000,270.000000,top
"L504","BLM15GG471","R_0402",100.607030,24.777074,0.000000,top
"L602","6.8 uH BRL1608T6R8M","R_0603",84.100000,63.700000,270.000000,top
"L603","6.8 uH BRL1608T6R8M","R_0603",85.850000,63.700000,270.000000,top
"L604","BLM15GG471","R_0402",100.857030,54.977074,0.000000,top
"L702","6.8 uH BRL1608T6R8M","R_0603",84.150000,93.000000,270.000000,top
"L703","6.8 uH BRL1608T6R8M","R_0603",85.900000,93.000000,270.000000,top
"L704","BLM15GG471","R_0402",100.907030,84.277074,0.000000,top
"L802","6.8 uH BRL1608T6R8M","R_0603",84.000000,125.000000,270.000000,top
"L803","6.8 uH BRL1608T6R8M","R_0603",85.750000,125.000000,270.000000,top
"L804","BLM15GG471","R_0402",100.757030,116.277074,0.000000,top
"L1101","130 nH","R_0805",65.300000,119.300000,0.000000,top
"L1102","130 nH","R_0805",65.300000,132.850000,0.000000,top
"L1103","130 nH","R_0805",65.250000,128.350000,0.000000,top
"L1104","130 nH","R_0805",65.250000,123.550000,0.000000,top
"L1105","L_Small","R_0402",42.000000,106.750000,0.000000,top
"L1201","L_Small","R_0805",20.800000,48.400000,0.000000,top
"L1301","L_Small","R_0402",22.300000,87.900000,270.000000,top
"L1302","L_Small","R_0805",6.650000,116.550000,270.000000,top
"L1303","L_Small","R_0402",6.000000,110.200000,270.000000,top
"L1304","L_Small","R_0402",16.350000,91.800000,180.000000,top
"L1305","L_Small","R_0805",15.250000,102.800000,0.000000,top
"L1306","L_Small","R_0402",14.400000,94.600000,90.000000,top
"L1307","L_Small","R_0402",15.600000,56.400000,0.000000,top
"Q1201","Q_PMOS_DGS","SOT-23",24.200000,47.400000,270.000000,top
"Q1302","25 MHz","CRYSTAL_5X3.2MM",26.710250,70.691654,180.000000,top
"R501","DNP","R_0402",97.800000,39.950000,90.000000,top
"R504","470 nH","R_0402",96.150000,38.200000,180.000000,top
"R505","22 pF","R_0402",95.600000,40.000000,90.000000,top
"R506","51","R_0402",84.600000,35.750000,270.000000,top
"R507","100k","R_0402",87.350000,22.300000,270.000000,top
"R508","R_Small","R_0402",88.650000,39.500000,180.000000,top
"R509","R_Small","R_0402",88.650000,37.750000,180.000000,top
"R510","R_Small","R_0402",90.350000,39.250000,270.000000,top
"R511","1k","R_0402",97.350000,31.250000,180.000000,top
"R512","JMP","R_0402",95.850000,31.500000,270.000000,top
"R513","DNP","R_0402",97.350000,32.750000,180.000000,top
"R601","DNP","R_0402",97.600000,70.250000,90.000000,top
"R604","470 nH","R_0402",95.950000,68.600000,180.000000,top
"R605","22 pF","R_0402",95.400000,70.200000,90.000000,top
"R606","51","R_0402",84.850000,65.950000,270.000000,top
"R607","100k","R_0402",87.600000,52.500000,270.000000,top
"R608","R_Small","R_0402",88.900000,69.700000,180.000000,top
"R609","R_Small","R_0402",88.900000,67.950000,180.000000,top
"R610","R_Small","R_0402",90.600000,69.450000,270.000000,top
"R611","1k","R_0402",97.600000,61.450000,180.000000,top
"R612","JMP","R_0402",96.100000,61.700000,270.000000,top
"R613","DNP","R_0402",97.600000,62.950000,180.000000,top
"R701","DNP","R_0402",97.800000,99.850000,90.000000,top
"R702","DNP","R_0402",4.550000,130.500000,0.000000,top
"R703","10k","R_0402",7.500000,130.500000,0.000000,top
"R704","470 nH","R_0402",96.150000,98.000000,180.000000,top
"R705","22 pF","R_0402",95.600000,99.800000,90.000000,top
"R706","51","R_0402",84.900000,95.250000,270.000000,top
"R707","100k","R_0402",87.650000,81.800000,270.000000,top
"R708","R_Small","R_0402",88.950000,99.000000,180.000000,top
"R709","R_Small","R_0402",88.950000,97.250000,180.000000,top
"R710","R_Small","R_0402",90.650000,98.750000,270.000000,top
"R711","1k","R_0402",97.650000,90.750000,180.000000,top
"R712","JMP","R_0402",96.150000,91.000000,270.000000,top
"R713","DNP","R_0402",97.650000,92.250000,180.000000,top
"R714","DNP","R_0402",10.450000,130.500000,0.000000,top
"R715","DNP","R_0402",14.550000,130.500000,0.000000,top
"R716","DNP","R_0402",17.500000,130.500000,0.000000,top
"R717","DNP","R_0402",20.450000,130.500000,0.000000,top
"R801","DNP","R_0402",98.000000,131.250000,90.000000,top
"R802","50","R_0402",64.500000,63.500000,90.000000,top
"R804","470 nH","R_0402",96.150000,130.800000,180.000000,top
"R805","22 pF","R_0402",94.400000,131.250000,90.000000,top
"R806","51","R_0402",84.750000,127.250000,270.000000,top
"R807","100k","R_0402",87.500000,113.800000,270.000000,top
"R808","R_Small","R_0402",88.800000,131.000000,180.000000,top
"R809","R_Small","R_0402",88.800000,129.250000,180.000000,top
"R810","R_Small","R_0402",90.500000,130.750000,270.000000,top
"R811","1k","R_0402",97.500000,122.750000,180.000000,top
"R812","JMP","R_0402",96.000000,123.000000,270.000000,top
"R813","DNP","R_0402",97.500000,124.250000,180.000000,top
"R815","22","R_0402",15.750000,26.750000,180.000000,top
"R817","22","R_0402",15.880000,23.932000,180.000000,top
"R818","22","R_0402",15.880000,22.500000,180.000000,top
"R819","22","R_0402",15.880000,21.138000,180.000000,top
"R820","22","R_0402",15.880000,19.750000,180.000000,top
"R821","22","R_0402",16.000000,17.750000,180.000000,top
"R822","22","R_0402",16.000000,16.566000,180.000000,top
"R823","22","R_0402",16.000000,15.296000,180.000000,top
"R824","22","R_0402",16.000000,14.026000,180.000000,top
"R825","22","R_0402",16.000000,12.756000,180.000000,top
"R901","DNP","R_0402",28.750000,25.950000,90.000000,top
"R902","10k","R_0402",30.250000,26.000000,270.000000,top
"R903","390","R_0402",36.000000,37.000000,270.000000,top
"R904","JMP","R_1206",29.000000,39.050000,90.000000,top
"R905","10k","R_0402",70.000000,39.300000,90.000000,top
"R906","JMP","R_0402",28.750000,29.550000,90.000000,top
"R907","10k","R_0402",27.000000,52.000000,90.000000,top
"R1001","51","R_0402",20.200000,84.650000,270.000000,top
"R1002","51","R_0402",20.200000,82.250000,90.000000,top
"R1004","51","R_0402",20.200000,79.700000,270.000000,top
"R1005","51","R_0402",20.200000,76.750000,90.000000,top
"R1101","51","R_0402",45.150000,128.300000,0.000000,top
"R1102","10k","R_0402",46.100000,126.300000,270.000000,top
"R1103","10k","R_0402",47.500000,126.300000,90.000000,top
"R1106","10k","R_0402",61.800000,120.000000,270.000000,top
"R1107","10k","R_0402",61.750000,118.050000,270.000000,top
