Ref,Val,Package,PosX,PosY,Rot,Side
"ATT501","HMC657LP2E","DFN-6-1EP_2x2mm_Pitch0.65mm",11.250000,40.950000,270.000000,top
"C201","C_Small","C_0201",11.250000,17.000000,270.000000,top
"C202","C_Small","C_0201",11.250000,24.725000,270.000000,top
"C203","C_Small","C_0402",19.450000,23.000000,180.000000,top
"C204","C_Small","C_0201",11.250000,27.500000,90.000000,top
"C205","C_Small","C_0201",11.525000,28.500000,0.000000,top
"C206","C_Small","C_0402",7.250000,28.450000,270.000000,top
"C207","C_Small","C_0402",7.750000,30.750000,0.000000,top
"C208","C_Small","C_0402",7.750000,32.250000,0.000000,top
"C209","C_Small","C_0402",8.500000,28.450000,270.000000,top
"C210","DNP","C_0201",10.975000,32.750000,0.000000,top
"C211","C_Small","C_0402",19.500000,21.250000,180.000000,top
"C301","C_Small","C_0201",67.750000,17.000000,270.000000,top
"C302","C_Small","C_0201",67.750000,24.725000,270.000000,top
"C303","C_Small","C_0402",60.950000,19.250000,0.000000,top
"C304","C_Small","C_0201",67.750000,27.225000,90.000000,top
"C305","C_Small","C_0201",68.025000,28.500000,0.000000,top
"C307","C_Small","C_0402",63.750000,31.250000,0.000000,top
"C308","C_Small","C_0402",63.750000,32.500000,0.000000,top
"C309","C_Small","C_0402",63.750000,30.000000,180.000000,top
"C310","DNP","C_0201",67.475000,32.750000,0.000000,top
"C311","C_Small","C_0402",60.950000,20.500000,0.000000,top
"C401","10 uF","C_0805",40.500000,30.250000,90.000000,top
"C402","1 uF","C_0402",38.750000,28.700000,270.000000,top
"C403","1 uF","C_0402",37.500000,31.300000,90.000000,top
"C404","1 uF","C_0402",58.750000,7.500000,0.000000,top
"C405","100 nF","C_0402",37.000000,20.950000,180.000000,top
"C406","1 uF","C_0402",32.500000,32.500000,0.000000,top
"C407","1 uF","C_0402",31.250000,30.550000,90.000000,top
"C408","10 uF","C_0805",33.500000,27.250000,0.000000,top
"C409","C_Small","C_0402",37.500000,28.700000,270.000000,top
"C410","4.7 uF","c_elec_6.3x5.8",20.250000,3.750000,0.000000,top
"C411","4.7 uF","C_0805",39.750000,17.750000,270.000000,top
"C412","100 nF","C_0402",37.500000,23.750000,90.000000,top
"C413","1 uF","C_0402",37.000000,19.500000,180.000000,top
"C414","4.7 uF","C_0805",35.750000,24.250000,90.000000,top
"C501","10 pF","C_0201",70.250000,46.250000,0.000000,top
"C502","10 pF","C_0201",39.525000,46.250000,0.000000,top
"C503","DNP","R_0402",70.700000,45.800000,90.000000,top
"C504","DNP","R_0402",68.200000,43.050000,180.000000,top
"C505","C_Small","C_0201",67.750000,43.475000,90.000000,top
"C506","10 pF","C_0201",6.250000,46.250000,0.000000,top
"C507","C_Small","C_0201",11.250000,38.250000,90.000000,top
"C508","DNP","R_0402",10.800000,37.800000,0.000000,top
"C509","DNP","R_0402",5.800000,45.800000,90.000000,top
"C601","C_Small","C_0201",29.000000,4.975000,270.000000,top
"D401","LED","LED_0603",61.750000,2.750700,270.000000,top
"F401","Polyfuse_Small","R_1210",58.200000,2.000000,180.000000,top
"L201","L_Small","R_0603",16.750000,23.000000,0.000000,top
"L202","L_Small","R_0402",11.700000,23.000000,0.000000,top
"L203","L_Small","R_0402",7.000000,25.750000,270.000000,top
"L301","L_Small","R_0603",61.750000,22.750000,270.000000,top
"L302","L_Small","R_0402",67.300000,23.250000,180.000000,top
"L401","L_Small","R_1206",58.250000,5.500000,180.000000,top
"L402","L_Small","R_1206",34.250000,17.000000,0.000000,top
"R201","13","R_0805",13.700000,23.000000,0.000000,top
"R204","R_Small","R_0402",20.750000,32.000000,0.000000,top
"R205","R_Small","R_0402",20.250000,30.300000,270.000000,top
"R206","R_Small","R_0402",20.700000,28.500000,0.000000,top
"R207","R_Small","R_0402",20.250000,26.750000,270.000000,top
"R301","13","R_0805",64.700000,23.500000,180.000000,top
"R304","R_Small","R_0402",58.750000,25.750000,180.000000,top
"R305","R_Small","R_0402",59.250000,24.050000,270.000000,top
"R306","R_Small","R_0402",59.250000,22.000000,270.000000,top
"R307","R_Small","R_0402",58.250000,23.050000,270.000000,top
"R401","100","R_0402",42.200000,25.750000,0.000000,top
"R403","10k","R_0402",48.250000,26.800000,270.000000,top
"R407","47k","R_0402",34.000000,22.750000,270.000000,top
"R408","12k","R_0402",34.000000,20.550000,270.000000,top
"R409","10k","R_0402",61.750000,5.300000,270.000000,top
"U201","SKY65013-70LF","SOT89-3_Housing",9.398340,19.998860,90.000000,top
"U301","SKY65013-70LF","SOT89-3_Housing",65.898340,19.998860,90.000000,top
"U401","ADP7158","DFN-10-1EP_3x3mm_Pitch0.5mm",34.250000,29.880000,180.000000,top
"U402","74HC244","TSSOP-20_4.4x6.5mm_Pitch0.65mm",46.750000,21.250000,90.000000,top
"U403","LD39100","DFN-6-1EP_3x3mm_Pitch0.95mm",40.250000,22.250000,180.000000,top
