Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100 nF","C_0402",39.000000,26.000000,0.000000,top
"C202","100 nF","C_0402",39.000000,25.000000,0.000000,top
"C203","1 uF","C_0402",39.000000,27.250000,0.000000,top
"C204","10 uF","C_0603",39.000000,30.000000,180.000000,top
"C205","10 pF","C_0603",40.750000,33.500000,90.000000,top
"C206","1 uF","C_0402",39.000000,23.750000,0.000000,top
"C207","1 uF","C_0402",39.000000,22.500000,0.000000,top
"C208","1 uF","C_0402",43.500000,33.500000,270.000000,top
"C209","1 uF","C_0402",42.250000,33.500000,90.000000,top
"C210","1 uF","C_0402",44.650000,22.450000,90.000000,top
"C211","10 uF","C_0603",45.000000,33.750000,90.000000,top
"C212","DNP","C_0402",48.300000,36.000000,0.000000,top
"C213","1800 pF","C_0402",47.000000,32.750000,0.000000,top
"C214","10 uF","C_0603",49.000000,33.500000,90.000000,top
"C215","390 pF","C_0402",42.750000,23.000000,180.000000,top
"C216","68 nF","C_0402",43.250000,21.400000,270.000000,top
"C217","100 nF","C_0402",49.500000,24.200000,270.000000,top
"C218","10 uF","C_0603",50.500000,33.500000,90.000000,top
"C219","10 uF","C_0603",52.000000,33.500000,90.000000,top
"C220","10 pF","C_0402",38.500000,34.450000,90.000000,top
"C221","1 uF","C_0402",50.250000,28.500000,270.000000,top
"C225","10 nF","C_0402",48.050000,20.000000,90.000000,top
"C226","10 nF","C_0402",55.500000,28.800000,180.000000,top
"C301","2.2 uF","C_0603",21.250000,38.000000,180.000000,top
"C302","1 uF","C_0402",22.750000,45.000000,0.000000,top
"C303","2.2 uF","C_0603",23.500000,38.750000,90.000000,top
"C304","2.2 uF","C_0603",20.000000,44.750000,0.000000,top
"C305","2.2 uF","C_0603",26.000000,42.000000,90.000000,top
"C306","2.2 uF","C_0402",23.250000,29.250000,0.000000,top
"C307","220 uF","c_elec_6.3x5.8",5.750000,38.500000,180.000000,top
"C308","1 uF","C_0402",25.750000,16.000000,0.000000,top
"C309","2.2 uF","C_0603",26.500000,33.550000,270.000000,top
"C310","100 nF","C_0402",25.250000,33.550000,270.000000,top
"C401","10 pF","C_0201",54.000000,34.500000,270.000000,top
"C403","100 nF","C_0402",42.250000,45.250000,0.000000,top
"C405","DNP","C_0402",44.950000,46.500000,0.000000,top
"C406","10 pF","C_0402",62.950000,45.250000,180.000000,top
"C407","10 pF","C_0201",65.250000,43.000000,180.000000,top
"C408","100 nF","C_0402",62.950000,46.500000,180.000000,top
"C409","1 uF","C_0402",62.950000,47.750000,180.000000,top
"C410","100 nF","C_0402",53.250000,47.500000,270.000000,top
"C411","DNP","C_0402",47.250000,49.250000,0.000000,top
"C414","100 nF","C_0402",47.250000,45.700000,270.000000,top
"C501","C_Small","C_0201",72.225000,38.000000,180.000000,top
"C502","C_Small","C_0201",72.225000,48.000000,180.000000,top
"C503","C_Small","C_0201",72.225000,28.000000,180.000000,top
"C504","C_Small","C_0201",72.225000,18.000000,180.000000,top
"C505","C_Small","C_0201",72.225000,8.000000,180.000000,top
"C903","10 uF","C_0603",25.750000,20.500000,90.000000,top
"C905","1 uF","C_0402",25.750000,23.800000,270.000000,top
"C908","1 uF","C_0402",19.750000,24.050000,270.000000,top
"C911","1 uF","C_0402",18.500000,24.050000,270.000000,top
"C914","10 uF","C_0603",19.750000,20.500000,90.000000,top
"D201","RED","LED_0603",44.250000,10.750000,90.000000,top
"D301","RED","LED_0603",1.500000,46.249300,90.000000,top
"L201","22 nH","R_0402",47.050000,20.050000,90.000000,top
"L202","22 nH","R_0402",55.500000,27.800000,180.000000,top
"L401","BLM15GG471","R_0402",63.750000,43.450000,270.000000,top
"R202","100","R_0402",37.000000,25.550000,90.000000,top
"R203","1k","R_0402",39.000000,32.750000,180.000000,top
"R204","1k","R_0402",39.050000,28.500000,180.000000,top
"R205","JMP","R_0402",46.500000,36.250000,90.000000,top
"R206","18","R_0402",46.500000,34.250000,90.000000,top
"R207","68","R_0402",42.800000,19.400000,180.000000,top
"R208","10k","R_0402",44.250000,8.000000,90.000000,top
"R209","51","R_0402",48.500000,21.600000,0.000000,top
"R210","51","R_0402",46.500000,21.600000,0.000000,top
"R211","51","R_0402",54.000000,29.200000,90.000000,top
"R212","51","R_0402",54.000000,27.250000,90.000000,top
"R217","DNP","R_0402",37.000000,23.250000,90.000000,top
"R301","10k","R_0402",16.750000,41.700000,270.000000,top
"R302","10k","R_0402",18.750000,38.000000,0.000000,top
"R303","10k","R_0402",16.750000,34.500000,180.000000,top
"R304","499k","R_0402",20.550000,46.000000,0.000000,top
"R305","499k","R_0402",18.800000,43.250000,180.000000,top
"R306","499k","R_0402",24.500000,42.800000,270.000000,top
"R307","499k","R_0402",24.950000,44.500000,180.000000,top
"R308","JMP","R_0402",27.250000,21.750000,90.000000,top
"R310","10k","R_0402",1.500000,43.500000,90.000000,top
"R311","10k","R_0402",19.750000,32.300000,270.000000,top
"R312","10k","R_0402",25.500000,31.300000,270.000000,top
"R313","47k","R_0402",27.000000,31.250000,90.000000,top
"R314","1k","R_0402",19.300000,27.000000,0.000000,top
"R315","JMP","R_0402",22.450000,46.500000,0.000000,top
"R316","JMP","R_0402",26.000000,39.550000,270.000000,top
"R318","10k","R_0402",18.500000,7.050000,90.000000,top
"R319","10k","R_0402",17.000000,7.050000,90.000000,top
"R320","10k","R_0402",20.000000,7.000000,90.000000,top
"R401","R_Small","R_0402",39.250000,48.500000,180.000000,top
"R402","R_Small","R_0402",39.250000,47.000000,180.000000,top
"R403","R_Small","R_0402",39.250000,45.500000,180.000000,top
"R406","1k","R_0402",60.500000,43.450000,270.000000,top
"R408","100k","R_0402",45.000000,47.750000,0.000000,top
"R409","82k","R_0402",47.250000,47.750000,180.000000,top
"R410","JMP","R_0402",49.750000,45.000000,180.000000,top
"U201","LMX2594","QFN-40-1EP_6x6mm_Pitch0.5mm",45.250000,27.750000,0.000000,top
