Source:,/home/kleinjt/repos/vna/hardware/vna_r1_demod/vna_r1_demod.sch
Date:,Sat May 19 16:49:21 2018
Tool:,Eeschema 4.0.7
Generator:,/usr/local/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value.py
Component Count:,113

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,ATT501,HMC657LP2E,hmc65xlp2e:HMC65XLP2E,Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm,
,,C201,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C202,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C203,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C204,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C205,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C206,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C207,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C208,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C209,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C210,DNP,device:C_Small,Capacitors_SMD:C_0201,
,,C211,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C301,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C302,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C303,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C304,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C305,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C306,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C307,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C308,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C309,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C310,DNP,device:C_Small,Capacitors_SMD:C_0201,
,,C311,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C401,10 uF,device:C_Small,Capacitors_SMD:C_0805,
,,C402,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C403,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C404,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C405,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C406,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C407,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C408,10 uF,device:C_Small,Capacitors_SMD:C_0805,
,,C409,C_Small,device:C_Small,Capacitors_SMD:C_0402,
,,C410,4.7 uF,device:CP_Small,Capacitors_SMD:c_elec_6.3x5.8,
,,C411,4.7 uF,device:CP_Small,Capacitors_SMD:C_0805,
,,C412,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C413,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C414,4.7 uF,device:CP_Small,Capacitors_SMD:C_0805,
,,C501,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C502,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C503,DNP,device:C_Small,Resistors_SMD:R_0402,
,,C504,DNP,device:C_Small,Resistors_SMD:R_0402,
,,C505,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C506,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C507,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,C508,DNP,device:C_Small,Resistors_SMD:R_0402,
,,C509,DNP,device:C_Small,Resistors_SMD:R_0402,
,,C601,C_Small,device:C_Small,Capacitors_SMD:C_0201,
,,D401,LED,device:LED,LEDs:LED_0603,
,,F401,Polyfuse_Small,device:Polyfuse_Small,Resistors_SMD:R_1210,
,,H401,MOUNTING_HOLE,mounting_hole:MOUNTING_HOLE,Mounting_Holes:MountingHole_2-5mm,
,,H402,MOUNTING_HOLE,mounting_hole:MOUNTING_HOLE,Mounting_Holes:MountingHole_2-5mm,
,,H403,MOUNTING_HOLE,mounting_hole:MOUNTING_HOLE,Mounting_Holes:MountingHole_2-5mm,
,,H404,MOUNTING_HOLE,mounting_hole:MOUNTING_HOLE,Mounting_Holes:MountingHole_2-5mm,
