Source:,/home/kleinjt/repos/vna/hardware/vna_r1_synth/vna_r1_synth.sch
Date:,Sat May 19 17:25:22 2018
Tool:,Eeschema 4.0.7
Generator:,/usr/local/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value.py
Component Count:,147

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,C201,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C202,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C203,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C204,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C205,10 pF,device:C_Small,Capacitors_SMD:C_0603,
,,C206,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C207,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C208,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C209,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C210,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C211,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C212,DNP,device:C_Small,Capacitors_SMD:C_0402,
,,C213,1800 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C214,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C215,390 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C216,68 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C217,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C218,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C219,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C220,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C221,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C222,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C223,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C224,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C225,10 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C226,10 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C227,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C301,2.2 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C302,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C303,2.2 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C304,2.2 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C305,2.2 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C306,2.2 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C307,220 uF,device:CP_Small,Capacitors_SMD:c_elec_6.3x5.8,
,,C308,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C309,2.2 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C310,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C401,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C402,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C403,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C404,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C405,DNP,device:C_Small,Capacitors_SMD:C_0402,
,,C406,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C407,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C408,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C409,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C410,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C411,DNP,device:C_Small,Capacitors_SMD:C_0402,
,,C412,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C413,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C414,100 nF,device:C_Small,Capacitors_SMD:C_0402,
,,C415,10 pF,device:C_Small,Capacitors_SMD:C_0402,
,,C501,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C502,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C503,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C504,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C505,10 pF,device:C_Small,Capacitors_SMD:C_0201,
,,C903,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,C905,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C908,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C911,1 uF,device:C_Small,Capacitors_SMD:C_0402,
,,C914,10 uF,device:C_Small,Capacitors_SMD:C_0603,
,,D201,RED,device:LED_Small,LEDs:LED_0603,
,,D301,RED,device:LED_Small,LEDs:LED_0603,
